time(sec),Fx1,Fy1,Fz1,COPx1,COPy1,COPz1,Tz1,Fx2,Fy2,Fz2,COPx2,COPy2,COPz2,Tz2,Fx3,Fy3,Fz3,COPx3,COPy3,COPz3,Tz3
6.340833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.341667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.342500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.343333,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.344167,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.345000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.345833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.346667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.347500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.348333,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.349167,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.350000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.350833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.351667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.352500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.353333,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.354167,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.355000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.355833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.356667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.357500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.358333,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.359167,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.360000,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.360833,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.361667,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
6.362500,-0.000000,-0.000000,-0.000000,-300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,300.000000,200.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-900.000000,200.000000,0.000000,0.000000,
